FundataKey|AsOfDate|1MthReturn|3MthReturn|6MthReturn|YTDReturn|1YrSimpleReturn|3YrSimpleReturn|5YrSimpleReturn|10YrSimpleReturn|1YrCompoundReturn|3YrCompoundReturn|5YrCompoundReturn|10YrCompoundReturn|InceptionReturn|TotalDist|DistYield
37776|08/31/2020|2.87|5.106|8.825|1.973|11.756|9.785|9.155||11.756|8.275|9.094||6.989||
37777|08/31/2020|2.996|5.5|9.632|2.961|13.351|11.282|10.948||13.351|9.77|10.622||8.402|0.0770291|0.3718
37779|08/31/2020|4.07|13.728|16.09|7.963|14.339|13.923|0.413||14.339|11.675|9.821||7.457|2.3338374|13.1051
37780|08/31/2020|4.193|14.133|16.903|8.961|15.928|15.486|1.883||15.928|13.213|11.3||8.327|3.1302805|17.8593
37782|08/31/2020|1.792|6.48|7.072|2.666|6.474|7.045|0.226||6.474|3.92|3.016||4.426||
37783|08/31/2020|1.384|5.228|-3.017|-7.411|-3.745|4.447|11.307||-3.745|0.036|2.588||2.068||
37784|08/31/2020|2.7|7.829|11.623|5.662|11.584|9.166|-1.855||11.584|6.088|4.236||6.006||
37785|08/31/2020|2.688|7.791|11.535|5.495|11.488|9.424|-1.006||11.488|6.461|4.67||5.749||
37786|08/31/2020|-1.06|2.354|3.902|7.237|4.772|-1.156|3.806||4.772|3.63|2.197||2.58||
37787|08/31/2020|-1.06|2.354|3.902|7.237|4.772|-1.156|3.806||4.772|3.63|2.197||2.518||
37788|08/31/2020|0.618|5.175|-0.217|0.712|1.148|1.527|4.509||1.148|2.403|3.119||3.955||
37789|08/31/2020|0.618|5.175|-0.217|0.712|1.148|1.527|4.509||1.148|2.403|3.119||3.935||
37790|08/31/2020|0.723|4.202|-4.5|-7.386|-5.69|3.192|3.142||-5.69|0.534|1.284||3.356||
37791|08/31/2020|0.723|4.202|-4.5|-7.386|-5.69|3.192|3.142||-5.69|0.534|1.284||3.383||
37792|08/31/2020|0.752|4.294|-4.337|-7.179|-5.371|3.546|3.547||-5.371|0.877|1.638||3.709||
37794|08/31/2020|-0.838|2.799|1.795|2.339|1.758|-1.357|3.682||1.758|2.079|1.664||2.641||
37796|08/31/2020|-0.838|2.799|1.795|2.339|1.758|-1.357|3.682||1.758|2.079|1.664||2.663||
37797|08/31/2020|1.051|4.828|-4.134|-5.777|-3.619|3.639|3.435||-3.619|1.538|1.721||3.845||
37799|08/31/2020|-0.822|2.85|1.893|2.469|1.886|-1.286|3.821||1.886|2.163|1.765||2.863||
37800|08/31/2020|1.051|4.828|-4.134|-5.777|-3.619|3.639|3.435||-3.619|1.538|1.721||3.876||
37801|08/31/2020|1.077|4.916|-3.96|-5.553|-3.273|4.001|3.723||-3.273|1.891|2.066||4.277||
37803|08/31/2020|-0.963|2.927|3.481|6.985|4.537|-1.032|3.39||4.537|3.583|2.073||2.201||
37805|08/31/2020|-0.963|2.927|3.481|6.985|4.537|-1.032|3.39||4.537|3.583|2.073||2.179||
37807|08/31/2020|2.294|5.396|-4.59|-8.306|-3.89|6.474|11.135||-3.89|1.439|4.941||5.595|0.403858|3.0854
37808|08/31/2020|-0.061|-0.16|-0.149|-0.05|0.172|0.144|-0.6||0.172|0.361|0.005||0.002||
37809|08/31/2020|2.115|4.814|-5.66|-9.66|-6.034|4.107|8.631||-6.034|-0.851|2.545||3.135|0.979847|12.8752
37810|08/31/2020|-0.061|-0.16|-0.149|-0.05|0.172|0.144|-0.6||0.172|0.361|0.005||0.002||
