FundataKey|Date|StyleBias|MktCapBias|ModDurationDate|ModDuration|AvgMaturity|ShortTermBond|MidTermBond|LongTermBond|AsOfDate|CreditRating
11172|07/31/2020|Growth|Large|07/31/2020|5.820227|6.39|3.19|22.73|13.09|07/31/2020|70
11197|05/31/2020|Growth|Large||||||||
11201|05/31/2020|Growth|Large||||||||
11202|05/31/2020|Growth|Small||||||||
11205|05/31/2020|Growth|Large||||||||
11207|05/31/2020|Growth|Large||||||||
11208|05/31/2020||||||||||
11209|05/31/2020|Blend|Large||||||||
11210|05/31/2020|Growth|Large||||||||
11211|05/31/2020|Growth|Large||||||||
11212|05/31/2020|Growth|Large||||||||
11213|05/31/2020|Growth|Large||||||||
11219|05/31/2020|||||10.2|25|18.34|37.34||
11222|05/31/2020|Growth|Large||||||||
11223|05/31/2020|Growth|Large||||||||
11232|05/31/2020|Growth|Mid||||||||
11233|05/31/2020|Growth|Large||||||||
11234|05/31/2020|Growth|Large|||10.55|8.3|5.12|12.09||
11237|05/31/2020|Growth|Large||||||||
11241|06/30/2020||||||||||
11243|06/30/2020|||06/30/2020|7.612971||12.17|6.38|12.59|06/30/2020|60
11244|07/31/2020|Growth|Large||||||||
11246|06/30/2020|||06/30/2020|8.372667|10.97|28.78|26.74|44.44|06/30/2020|60
11247|07/31/2020|Growth|Large||||||||
11248|07/31/2020|Growth|Large||||||||
11250|07/31/2020|Growth|Large||||||||
11251|08/31/2020|||||15.36|8.48|14.87|23.5||
11252|07/31/2020|||07/31/2020|8.526141|9.09|27.82|20.21|39.84|07/31/2020|60
11254|06/30/2020||||||||||
11256|07/31/2020|Growth|Large||||||||
11258|07/31/2020|Blend|Large|07/31/2020|3.963156|9.29|15.76|1.64|4.64|07/31/2020|50
11259|07/31/2020|Growth|Large|07/31/2020|7.620281|9.59|18.15|8.81|18.25|07/31/2020|60
11260|07/31/2020|||07/31/2020|9.760584|9.09|25.13|16.49|42.25|07/31/2020|60
11261|07/31/2020|Growth|Large||||||||
11262|07/31/2020|Growth|Large||||||||
11264|07/31/2020|Growth|Small||||||||
11265|07/31/2020||||||||||
11266|07/31/2020|Growth|Large||||||||
11269|07/31/2020|Growth|Large||||||||
11270|07/31/2020||||||||||
11271|07/31/2020|Growth|Large||||||||
11286|07/31/2020|Growth|Mid||||||||
11288|07/31/2020|Growth|Large|07/31/2020|4.767498|9.79|18.62|5.17|6.15|07/31/2020|40
11295|07/31/2020|Growth|Large|07/31/2020|4.861316|7.19|17.41|10.11|7.02|07/31/2020|60
11298|07/31/2020|Growth|Large||||||||
11300|07/31/2020|||07/31/2020|7.516793|7.51|18.66|35.84|42.19|07/31/2020|60
11306|07/31/2020|Blend|Small||||||||
11328|06/30/2020|Growth|Large||||||||
11329|06/30/2020|Growth|Large||||||||
11330|06/30/2020|Growth|Large||||||||
11332|06/30/2020|Growth|Large||||||||
11335|06/30/2020|Growth|Large||||||||
11336|06/30/2020|Growth|Large||||||||
11337|06/30/2020|Growth|Large||||||||
11338|06/30/2020|Growth|Large||||||||
11339|06/30/2020|Growth|Large||||||||
11340|06/30/2020|Growth|Large||||||||
11341|07/31/2020||||||||||
11342|07/31/2020|||07/31/2020|9.043842|14.21|25.27|29.2|41.11|07/31/2020|60
11343|07/31/2020|Growth|Large|07/31/2020|8.837992|13.31|15.27|13.49|19.67|07/31/2020|60
11344|07/31/2020|Growth|Large||||||||
11345|07/31/2020||||||||||
11346|07/31/2020||||||||||
11347|07/31/2020||||||||||
11348|07/31/2020||||||||||
11349|06/30/2020|Growth|Large|06/30/2020|5.079423|6.6|13.15|3.24|6.55||
11350|06/30/2020|Growth|Large|06/30/2020|8.363809|10.73|13.76|8.25|17.7|06/30/2020|50
11351|06/30/2020|Blend|Large||||||||
11352|06/30/2020|Growth|Large|06/30/2020|9.167531|10.69|9.78|4.7|14.17|06/30/2020|60
11353|03/31/2020|Growth|Mid||||||||
11354|06/30/2020|Growth|Large||||||||
11355|06/30/2020|||06/30/2020|8.893742|11.96|28.62|18.89|47.78|06/30/2020|50
11356|06/30/2020|Growth|Large||||||||
11357|03/31/2020|||||5.91|51.72|16.61|8.19||
11358|06/30/2020|Blend|Large||||||||
11359|06/30/2020|Growth|Large||||||||
11360|06/30/2020|Growth|Large||||||||
11362|06/30/2020|Growth|Large||||||||
11363|06/30/2020|||06/30/2020|2.619909|5.8|77.77|12.75||06/30/2020|60
11364|06/30/2020|Blend|Large||||||||
11365|06/30/2020|Blend|Mid||||||||
11367|06/30/2020|Growth|Large||||||||
11368|06/30/2020|Growth|Large||||||||
11376|06/30/2020||||||||||
11377|06/30/2020|Growth|Large||||||||
11380|07/31/2020|Growth|Large||||||||
11381|07/31/2020|Growth|Large||||||||
11384|07/31/2020|Growth|Large||||||||
11388|07/31/2020||||||||||
11391|07/31/2020|Growth|Large||||||||
11394|07/31/2020|||07/31/2020|2.910239|4.93|57.43|18.99|2.1|07/31/2020|-20
11395|07/31/2020|Growth|Large|07/31/2020|7.012926|7.58|16.04|8.82|15.26|07/31/2020|40
11396|07/31/2020|Growth|Small||||||||
11404|07/31/2020|Blend|Large||||||||
11406|07/31/2020|Growth|Large||||||||
11409|07/31/2020||||||||||
11416|06/30/2020|Growth|Large|06/30/2020|5.079423|6.6|13.15|3.24|6.55||
11417|03/31/2020|Growth|Mid||||||||
11418|03/31/2020|||||5.91|51.72|16.61|8.19||
11419|06/30/2020|Blend|Large||||||||
11420|06/30/2020|Growth|Large||||||||
11421|06/30/2020|Growth|Large||||||||
11423|06/30/2020|Growth|Large||||||||
11424|06/30/2020|Blend|Large||||||||
11425|06/30/2020|Blend|Mid||||||||
11426|06/30/2020||||||||||
11428|06/30/2020|Growth|Large||||||||
11429|06/30/2020|Growth|Large||||||||
11430|06/30/2020|Growth|Large||||||||
11432|06/30/2020|Growth|Large||||||||
11433|06/30/2020||||||||||
11435|06/30/2020|Growth|Large|06/30/2020|7.22437|0.02|14.54|7.86|15.01|06/30/2020|70
11436|06/30/2020|Growth|Large|06/30/2020|7.415341|0|10.21|6.4|11.38|06/30/2020|60
11443|07/31/2020|Growth|Small||||||||
11449|07/31/2020|Growth|Large|07/31/2020|7.318715||15.35|9.89|13.81|07/31/2020|60
11450|07/31/2020|||07/31/2020|8.422272|13.05|30.67|26.68|40.42|07/31/2020|60
11451|07/31/2020|Growth|Large||||||||
11456|07/31/2020||||||||||
11458|07/31/2020|Growth|Large|07/31/2020|6.218748||8.55|4.2|5.22|07/31/2020|50
11459|07/31/2020|Growth|Large|07/31/2020|7.1976||12.73|8.77|11.22|07/31/2020|50
11462|07/31/2020|Growth|Large|07/31/2020|7.509399||17.01|13.14|16.83|07/31/2020|50
11527|07/31/2020|Growth|Large|||10.2|8.49|2.65|||
11566|07/31/2020|Growth|Large|07/31/2020|8.048894||7.34|3.97|8.2|07/31/2020|70
11567|07/31/2020|Growth|Large|07/31/2020|8.129006||14.84|8.24|17.03|07/31/2020|70
11570|07/31/2020|Growth|Large|07/31/2020|8.21085||20.1|11.47|23.7|07/31/2020|70
11572|07/31/2020|Growth|Large|07/31/2020|8.169613||25.64|14.43|29.82|07/31/2020|70
11574|07/31/2020|Growth|Large||||||||
11600|07/31/2020|Growth|Large|07/31/2020|6.050399||8.77|4.07|5.05|07/31/2020|50
11601|07/31/2020|Growth|Large|07/31/2020|7.158642||12.71|8.64|11.05|07/31/2020|50
11604|07/31/2020|Growth|Large|07/31/2020|7.411197||18.13|13.98|17.41|07/31/2020|40
11606|07/31/2020|Growth|Large|07/31/2020|7.339083||23.9|17.95|21.86|07/31/2020|50
11608|07/31/2020|Growth|Large||||||||
11611|06/30/2020|Growth|Large|06/30/2020|8.034199|10.15|10.42|10.14|12.1|06/30/2020|60
11612|06/30/2020|Growth|Large||||||||
11613|06/30/2020|Blend|Large||||||||
11614|06/30/2020|||06/30/2020|8.328691|10.39|28.9|31.11|37.24|06/30/2020|60
11615|06/30/2020|Growth|Large||||||||
11616|06/30/2020||||||||||
11617|06/30/2020|Growth|Small||||||||
