FundataKey|AsOfDate|TotalDist-CurrMth|TotalDist-YTD|TotalDist-12Mth|DistYield|DivDist-CurrMth|DivDist-YTD|DivDist-12Mth|FgnDivDist-CurrMth|FgnDivDist-YTD|FgnDivDist-12Mth|CapGainsDist-CurrMth|CapGainsDist-YTD|CapGainsDist-12Mth|IntIncDist-CurrMth|IntIncDist-YTD|IntIncDist-12Mth|RtnPrinciple-CurrMth|RtnPrinciple-YTD|RtnPrinciple-12Mth|DistFrequency
16810|08/31/2020|||0.6285|2.6616|||0.6285|||||||||||||Annual
16811|08/31/2020||0.017211|0.017211|0.0574||0.017211|0.017211|||||||||||||Annual
16812|08/31/2020|||0.714096|2.6992|||0.714096|||||||||||||Annual
16814|08/31/2020|||0.107605|0.2433|||0.107605|||||||||||||Annual
16816|08/31/2020|||0.11397|0.1796|||0.11397|||||||||||||Annual
16823|08/31/2020|||0.863907|0.9102|||0.863907|||||||||||||Annual
16825|08/31/2020|0.0150394|0.1369827|0.1933236|2.0156|0.0150394|0.1369827|0.1933236|||||||||||||Monthly
16826|08/31/2020|||0.3921132|2.8776|||0.3921132|||||||||||||Annual
16827|08/31/2020||||||||||||||||||||Annual
16828|08/31/2020||||||||||||||||||||Annual
16835|08/31/2020|||1.727103|3.7254|||||||||1.727103|||||||Annual
16844|08/31/2020||||||||||||||||||||Annual
16845|08/31/2020||0.1738928|0.2620424|2.3161||0.1738928|0.2620424|||||||||||||Quarterly
16846|08/31/2020|||1.1220672|6.9737|||0.462833||||||0.6592342|||||||Annual
16851|08/31/2020||||||||||||||||||||Annual
16867|08/31/2020|||0.232733|1.5389|||0.232733|||||||||||||Annual
16868|08/31/2020|||0.091117|0.8392|||0.091117|||||||||||||Annual
16869|08/31/2020|||0.1291657|0.7868|||0.1029046||||||0.0262611|||||||Annual
16870|08/31/2020|||0.3144292|1.83|||0.2505017||||||0.0639275|||||||Annual
16871|08/31/2020|0.1041526|0.1041526|0.4157765|2.7358|0.1041526|0.1041526|0.3026656||||||0.1131109|||||||Annual
16872|08/31/2020|0.1403163|0.1403163|0.6234594|3.9352|0.1403163|0.1403163|0.4480917||||||0.1753677|||||||Annual
16873|08/31/2020|||0.6890471|2.7534|||0.1968297||||||0.4922174|||||||Annual
16874|08/31/2020|||0.9448115|3.9128|||0.26989||||||0.6749215|||||||Annual
16886|08/31/2020||||||||||||||||||||No Distribution
16887|08/31/2020||0.26|0.59406|2.4259||0.26|0.59406|||||||||||||Semi Annual
16888|08/31/2020||||||||||||||||||||No Distribution
16889|08/31/2020||||||||||||||||||||No Distribution
16890|08/31/2020||||||||||||||||||||No Distribution
16897|08/31/2020||||||||||||||||||||Annual
16898|08/31/2020||||||||||||||||||||Annual
16899|08/31/2020|||0.0775|0.3539|||0.0775|||||||||||||Annual
16900|08/31/2020||||||||||||||||||||Annual
16901|08/31/2020|||0.6183|2.4963|||0.6183|||||||||||||Annual
16902|08/31/2020||||||||||||||||||||Annual
16903|08/31/2020|||0.5796|1.865|||0.5796|||||||||||||Annual
16904|08/31/2020||||||||||||||||||||Annual
16905|08/31/2020||||||||||||||||||||Annual
16907|08/31/2020|||0.0142|0.0651|||0.0142|||||||||||||Annual
16908|08/31/2020||||||||||||||||||||Annual
16909|08/31/2020||||||||||||||||||||Annual
16910|08/31/2020||||||||||||||||||||Annual
16912|08/31/2020|||0.599|0.9719|||0.599|||||||||||||Annual
16913|08/31/2020||||||||||||||||||||Annual
16914|08/31/2020|||0.8731|2.587|||0.8731|||||||||||||Annual
16915|08/31/2020|||0.3475|1.3089|||0.3475|||||||||||||Annual
16946|08/31/2020|||0.137935|1.8946||||||||||||0.137935||||Annual
16949|08/31/2020||7.5964|7.5964|9.6685||0.5059|0.5059|||||7.0905|7.0905|||||||Annual
16950|08/31/2020||0.4873|0.4873|1.4566||0.4873|0.4873|||||||||||||Annual
16969|08/31/2020||||||||||||||||||||Annual
16981|08/31/2020|0.0775|0.62|0.93|5.5751||0.005116|0.005116||||0.0775|0.607411|0.909077||0.007473|0.015807||||Monthly
16995|08/31/2020|||2.198772|9.9808|||||||||2.198772|||||||Annual
16997|08/31/2020||||||||||||||||||||No Distribution
16998|08/31/2020||||||||||||||||||||No Distribution
16999|08/31/2020||||||||||||||||||||No Distribution
17001|08/31/2020||||||||||||||||||||No Distribution
17003|08/31/2020||||||||||||||||||||No Distribution
17005|08/31/2020||||||||||||||||||||No Distribution
17007|08/31/2020||||||||||||||||||||No Distribution
17008|08/31/2020||||||||||||||||||||No Distribution
17009|08/31/2020||||||||||||||||||||No Distribution
17011|08/31/2020||||||||||||||||||||No Distribution
17012|08/31/2020||||||||||||||||||||No Distribution
17013|08/31/2020||||||||||||||||||||No Distribution
17014|08/31/2020||||||||||||||||||||No Distribution
17018|08/31/2020||||||||||||||||||||No Distribution
