FundataKey|Date|NAVPS|MER|TotalAssets|DividendIncome|CapitalGains|ReturnOfCapital|DistributionTotal|SplitFactor|DistributionFrequency
11232|08/28/2020|13.51||||||0.014||Monthly
11232|08/31/2020|13.431|2.41|1013.498||||||Monthly
11233|08/31/2020|30.4869|3.82|2868.688||||||Annual
11234|08/31/2020|11.6694|2.12|288.864||||||Annual
11237|08/31/2020|31.4813|2.36|462.49||||||Annual
11241|08/31/2020|33.2917|2.51|||||||Annual
11243|08/31/2020|32.41|2.89|14.395098||||||No Distribution
11244|08/31/2020|24.708|3.31|12.348504||||||No Distribution
11246|08/31/2020|24.021|2.48|18.256303||||||No Distribution
11247|08/31/2020|42.42|2.93|30.307236||||||No Distribution
11248|08/31/2020|38.24|2.91|13.982081||||||No Distribution
11250|08/31/2020|14.926|3.34|3.324239||||||No Distribution
11251|08/31/2020|20.388|2.82|10.309785||||||No Distribution
11252|08/31/2020|50.905|0.4|2.471897||||||No Distribution
11254|08/31/2020|14.032|1.5|13.909625||||||No Distribution
11256|08/31/2020|82.576|1.2|5.437691||||||No Distribution
11258|08/31/2020|34.648|2.66|184.47627||||||No Distribution
11259|08/31/2020|53.3511|2.67|161.973042||||||No Distribution
11260|08/31/2020|53.9395|2.29|286.119362||||||No Distribution
11261|08/31/2020|32.8139|2.68|449.398707||||||No Distribution
11262|08/31/2020|426.7326|2.68|391.169796||||||No Distribution
11264|08/31/2020|27.3148|2.69|98.14117||||||No Distribution
11265|08/31/2020|25.4519|2.73|46.220885||||||No Distribution
11266|08/31/2020|144.0826|2.35|1.780633||||||No Distribution
11269|08/31/2020|43.656|2.67|51.098019||||||No Distribution
11270|08/31/2020|24.4412|1.07|38.448214||||||No Distribution
11271|08/31/2020|485.276|1.62|147.298147||||||No Distribution
11286|08/31/2020|41.8251|2.57|38.688612||||||Annual
11288|08/28/2020|10.8037|||||0.06|0.06||Monthly
11288|08/31/2020|10.7306|2.01|831.638711||||||Monthly
11295|08/28/2020|11.3043|||0.047|||0.047||Monthly
11295|08/31/2020|11.2958|2.316341|107.307616||||||Monthly
11298|08/31/2020|12.492|2.610994|30.379603||||||Annual
11300|08/28/2020|10.5807|||0.033|||0.033||Monthly
11300|08/31/2020|10.5974|1.612489|103.552278||||||Monthly
11306|08/31/2020|23.2809|2.69969|190.995924||||||Annual
11307|08/31/2020|1.3042||||||||No Distribution
11328|08/31/2020|61.1767|2.51|10.96828||||||Annual
11329|08/31/2020|29.7064|2.51|4.814928||||||Annual
11330|08/31/2020|51.5543|2.5|21.631261||||||Annual
11332|08/31/2020|29.5206|2.49|9.065578||||||Annual
11335|08/31/2020|54.2405|2.45|33.592527||||||Annual
11336|08/31/2020|46.9021|2.51|8.409001||||||Annual
11337|08/31/2020|22.7749|2.51|3.691439||||||Annual
11338|08/31/2020|39.5249|2.5|16.583939||||||Annual
11339|08/31/2020|22.6324|2.49|6.950265||||||Annual
11340|08/31/2020|41.5843|2.45|25.754228||||||Annual
11341|08/31/2020|20.229011|2.29|5.821621||||||No Distribution
11342|08/31/2020|23.885782|1.11|9.445722||||||No Distribution
11343|08/31/2020|23.084557|2.24|13.529271||||||No Distribution
11344|08/31/2020|27.705637|2.48|9.674992||||||No Distribution
11345|08/31/2020|23.71528|2.27|2.909356||||||No Distribution
11346|08/31/2020|10.564272|2.42|0.691205||||||No Distribution
11347|08/31/2020|14.916613|2.43|1.729779||||||No Distribution
11348|08/31/2020|14.486669|0.54|2.915308||||||No Distribution
11349|08/31/2020|30.4202|2.45|27.52402||||||Annual
11350|08/31/2020|25.1085|2.27|283.434033||||||Quarterly
11351|08/31/2020|42.1795|2.52|300.039685||||||Annual
11352|08/31/2020|30.2997|2.43|70.603786||||||Annual
11353|08/31/2020|63.8211|2.47|137.210603||||||Annual
11354|08/31/2020|77.9932|2.46|661.076372||||||Annual
11355|08/31/2020|15.4185|1.58|42.896552|0.0214|||0.0214||Monthly
11356|08/31/2020|45.0159|2.44|38.853235||||||Annual
11357|08/31/2020|8.6665|1.97|21.24146|0.0234473|||0.0234473||Monthly
11358|08/31/2020|20.0352|2.5|7.140317||||||Annual
11359|08/31/2020|34.4353|2.51|6.996428||||||Annual
11360|08/31/2020|55.5494|2.49|15.036707||||||Annual
11362|08/31/2020|69.9651|2.5|61.737697||||||Annual
11363|08/31/2020|10.4664|1.46|25.520224|0.0103765|||0.0103765||Monthly
11364|08/31/2020|12.7375|2.53|0.665541||||||Annual
11365|08/31/2020|13.5484|2.57|1.363478||||||Annual
11367|08/31/2020|17.7476|2.51|7.49073||||||Annual
11368|08/31/2020|63.9648|2.5|24.568394||||||Annual
