FundataKey|FundservCode|LoadType|ServiceFeeRate|ServiceFeeFrequency
10965|CLA176|Deferred Sales Charge (Back End Load)||
10966|CLA009|Deferred Sales Charge (Back End Load)||
10966|CLA1009|No Load||
10967|CLA039|Deferred Sales Charge (Back End Load)||
10967|CLA1039|No Load||
10968|CLA037|Deferred Sales Charge (Back End Load)||
10968|CLA1037|No Load||
10969|CLA019|Deferred Sales Charge (Back End Load)||
10969|CLA1019|No Load||
10970|CLA034|Deferred Sales Charge (Back End Load)||
10970|CLA1034|No Load||
10971|CLA036|Deferred Sales Charge (Back End Load)||
10971|CLA1036|No Load||
10972|CLA035|Deferred Sales Charge (Back End Load)||
10972|CLA1035|No Load||
10973|CLA029|Deferred Sales Charge (Back End Load)||
10973|CLA1029|No Load||
10974|CLA1188|No Load||
10974|CLA188|No Load||
10990|CLA1177|No Load||
10990|CLA177|Deferred Sales Charge (Back End Load)||
10991|CLA079|Deferred Sales Charge (Back End Load)||
10991|CLA1079|No Load||
10994|CLA080|Deferred Sales Charge (Back End Load)||
10994|CLA1080|No Load||
10996|CLA1118|No Load||
10996|CLA118|Deferred Sales Charge (Back End Load)||
10997|CLA054|Deferred Sales Charge (Back End Load)||
10997|CLA1054|No Load||
10998|CLA052|Deferred Sales Charge (Back End Load)||
10998|CLA1052|No Load||
10999|CLA051|Deferred Sales Charge (Back End Load)||
10999|CLA1051|No Load||
11007|CCM342|Front End Load||
11007|CCM343|Deferred Sales Charge (Back End Load)||
11007|CCM937|Low Service Charge||
11015|MIF081|Deferred Sales Charge (Back End Load)||
11015|MIF281|Front End Load||
11024|PRI920|Deferred Sales Charge (Back End Load)||
